Nama,Tanggal,comment,Label
Susy Sary,28 Juli 2021,Sangat baik . Tapi kendala sudah d folback kok Masih tetep aja untuk ikuti balik 😔,Positif
Wildan Ilham,18 Juli 2021,Dengan aplikasi ini AQ suka karena terhibur asal jangan tersendat sendat bila di klik,Positif
Imroatu latifatul Ihwana,11 Juni 2021,Bagus sebener tapi aku 2 hari pakai buat cari koin sudah aku klik dan selama 30 menit kok koin enggak masuk tertulis ha 5 menit aku jadi bingung sendiri. Aku coba beberapa kali dan aku rasa aku sudah lebih dari 30 menit tapi tetap aja ini maksud gimana?,Positif
Aleya syubbanlovers,30 Juli 2021,Bagus tapi semoga bisa lebih ditingkatkan lagi dan ada tiktok offline 😂,Positif
Adel Konut,27 Juli 2021,aplikasi yang keren kita bisa menonton video dari sini terimakasi tiktok😊,Positif
Rivalina 745,11 Juli 2021,Jangan download nanti nyesel...,Negatif
DAVA maulana 7B,23 Mei 2021,Bagus banget pasti dilihat,Positif
Amin Hado,3 Agustus 2021,Pelayanan yang sudah bagus tingkatkan terus agar konsumen semakin puas,Positif
aqylla putri pratama Pratama,29 Juli 2021,"Kenapa saya kasih 4, karena gak hasilkan cuan lagi.. mana dong dari pihak tiktok... pengguna sudah bak.. malah dihilangkan buat dapatin cuan",Positif
Rasyid lubis Syid,26 Juli 2021,Saya kasih 4 saja karena saya tidak pernah dikasih bonus dari tiktok ingin seperti yang lain selalu dibagi ..😔,Positif
chamvredx shoe,19 Juni 2021,"Bak sekali berita/informasi yang tanggal kejadian tidak diketahui di FYP, tiktok seharus menetapkan tanggal upload yang jelas dan tidak bisa dimodif/edit agar tidak menimbulkan miss informasi. Aku masih gak bisa buka draf",Positif
Slamet,5 Agustus 2021,"Lumayan cepet ngasilin duit di Minggu pertama,selanjut....",Positif
Oliviaaa _,15 Juli 2021,"Ｏｈａｙｏｕ ｇｏｚａｉｍａｓｕｕ . . .anoo tiktok sangat bagus tapi bak jamet yaa😭😭 bukan salah tiktok sih , btw download aja supaya glow up eh canda😂",Positif
yuni hanifah,17 Juli 2021,Alhamdulillah meski baru dapat 40rb.. Setidak bak info atau berita yang lagi viral,Positif
Ningrum,5 Agustus 2021,Lumayan buat menghibur disaat stress menghadapi pandemi,Positif
Hasna Rizqi,22 Juni 2021,"Mohon maaf, ini kenapa ya? Kalo ada tulisan seperti ini waktu like ""kamu mengetik terlalu cepat. beristirahatlah"" padahal saya susah tidak buka lagi sampe besok tetap saja seperti itu, tolong beritahu agar bisa pulih 😥😥",Positif
Ashley Sinyohpesek,20 Juli 2021,kenapa pas saya post tiktok ada lgo padahal masi diaplikasi tiktok bukan di galeri,Positif
Ivan Permana,20 Juli 2021,Sosial media tergantung dari pengguna. Bijaklah dalam bersosial media,Positif
Kode undangan tiktok GBDPPMNGMPYTG,29 Mei 2021,aplikasi sih sangat bagus jadi bisa terhibur Bikin tertawa senyum terkadang sedih dengan video.,Positif
Iqbal Rifai17,24 Juni 2021,"Halo tiktok kenapa saya tidak bisa memasukkan kode Referall teman saya, disitu tertulis tidak lolos kontrol penipuan terus. Tolong segera di proses. Terimakasih",Positif
Park Jimin 2608,15 Juni 2021,"Ayo download tiktok segera,, bak video bagus dan menarik lain 😉. . . . Jangan lupa masukan kode GBRNTTZRRXYUG Untuk mendapatkan uang tunai jutaan rupiah...",Positif
Feggyan Windari,23 Juni 2021,Mohon untuk lebih teliti lagi dalam memilah video yang akan muncul. bak anak kecil bermain tiktok. terutama video yang mengandung unsur pornografi atau ujaran kebencian. kenapa yang kayak gitu gak diblokir? Saya upload video kucing laga makan kok video saya dibanned.,Positif
VN,27 Juli 2021,Kok sekarang koin saya hilang sudah 1bulanan biasa kalo nonton video selama 30menit dapat koin kok sekarang gak ada padahal sudah update terus,Positif
Winda Supini,11 Juni 2021,Ini kenapa install lama banget please dong dowlond jangan lama please sudah berhari hari bahkan berbulan bulan ini aplikasi gak muncul di layar hp ku malah baru 30% terus padahal wifi ku selalu full tolong dibantu oke developer,Positif
FYZ OFFICIAL,20 Juli 2021,"Min kok pu saya jadi ga ada menit2 nonton ga menang point juga kalo nnton, id mochgilangprayoga",Positif
wahyu Doni Setyawan,3 Juli 2021,Kenapa akun tiktok saya tidak bisa bertambah poin padahal saya event bonus tiktok dan sudah mengklik iklan untuk mendownload video agar pohon tapi kenapa selama 30 saya menonton video tidak bertambah point di akun tiktok saya,Negatif
Borneo 89,20 Juli 2021,SnackVideo aplikasi yang bisa menghasilkan uang. Ini kode ya..,Positif
Rajah 9-H,22 Juli 2021,Hmm...kok tidak bisa didownload ya lama banget,Negatif
saeful khomar,1 Juli 2021,"Terima kasih sudah bisa lagi menonton Dan klik koin. Saya tambahi bintang dari 2 ke 4, kalo tidak ada kendala lagi ke depan saya kasih bintang lagi . Terima kasih",Positif
X BRAY,22 Juni 2021,"penarikan saldo kalo bisa tambahkan jangan jangan dana/bank aja soal tidak semua orang pu akun dana premium dan pu nomor rekening bank, tambahkan shopeepay/gopay/ovo kalau bisa",Positif
AJAI 03,10 Juli 2021,"Saya kasih bintang empat, soal saya suka aplikasi  sebelum diperbarui, kita nonton video 30 menit sudah bisa dapat 70.000koin Rp7.000 tapi setelah di perbarui malah turun koin yang kita peroleh selama nonton, agak kecewa sih tapi good lah harapan ku diperbaiki lagi biar makin bak yang instal aplikasi...",Positif
Fendi Maulana,11 Juli 2021,Kenapa gambar klik poin gak ada. tolong admin untuk memperbaiki sudah 2 hari nonton video gak dapat point,Positif
Krisda Yanti,19 Juli 2021,"Saya akuin aplikasi tiktok emang bagus,tapi saya sekarang engga pernah buka2 tiktok lagi karna tiba2 akun saya diblokir sama tiktok kan jadi saya kecewa dong",Positif
Meyva Putri,1 Juli 2021,Saya pas buka tiktok kenapa tidak ada komentar? dan saat saya komentar tidak bisa? Gimana ini mohon dibantu ya. kalau tentang hiburan semua bagus. Semoga bisa diperbaiki ya min,Positif
Muhammad Fadil,30 Juli 2021,Aplikasi ini bagus sih tapi tolong dong diubah penarikan menjadi dana biasa bukan yang dana premium karna aku masih bocil gak pu ktapi karna saldo saya ditiktok sudah 31 ribu kan lumayan buat beli paketan,Positif
DULLOH GAMING,2 Juli 2021,"Kenapa dengan tiktok gua sudah susah susah naik dan ketika gua sudah naik 35,7 folowers kenapa viwers  cuma 10 yang like 4 itu gak masuk akal tolong lah diperbaiki 🙏 kalo sudah di perbaiki gua akan kasih bintang 5🙏",Positif
Gus Helmi,25 Juli 2021,Kenapa saya mau memasukkan kode Ada Kesalahan jaringan harap Coba Lagi,Negatif
Ardi Yulianto,15 Juli 2021,"Sekarang enggak dapat koin lagi nonton tiktok , ada yang sama?",Negatif
Asus Bayppas,17 Juli 2021,"aplikasi bagus banget, cuman kalau bisa hadiah undang teman distabilkan lagi seperti dulu lagi 🙏🙏🙏🙏😍😍🥰🥰🥰 kangen Tiktok dulu.🙏🙏🙏😍😍😍",Positif
AtharTv production,19 Juni 2021,"Cuma saran bagi pemilik perusahaan tiktok indonesia ,kami mohon video video yang senonoh untuk tidak di ijinkan di upload, ingat bak anak anak main tiktok....",Positif
Numpang Sabanta,10 Juni 2021,Dulu aku tidak suka tiktok karna yang muncul diberanda joget2 aja terkesan alay. Sekarang aku download karna bisa dapat koin yang bisa di wD... dan juga isi tiktok bervariasi juga rupa.... ada faedah juga selain koin.,Positif
anak jantan,10 Juli 2021,"Kak tiktok aku kok gak bisa masukan kode, selalu error' kata",Negatif
Palangka Raya,6 Agustus 2021,Lumayan..suka sihh Yang inti bak mendapat pengetahuan saya.,Positif
Rus Mini,16 Juli 2021,Lumayan hasil nonton tiktok bisa beli pulsa dan token lampu.... Makasih tiktok,Positif
Ar bayu,4 Agustus 2021,jangan download,Negatif
BEDHE 14,14 Juli 2021,tidak menghibur sama sekali,Negatif
Andrian Maharani,6 Agustus 2021,aplikasi favorit aku sering scroll tiktok tapi gak ada pendapatan iya atau apa gak pernah fyp lagi,Positif
Samuel Koto,7 Agustus 2021,bak video pencemaran nama baik,Negatif
Alvin Tungkagi,16 Juli 2021,Saya meminta tolong untuk pihak tiktok agar mengembalika akun saya yang diblokir.. Saya sudah medari kesalahan saya maka meminta tolong agar di pertimbangkan lagi. Terima kasih,Positif
Gun Baysca,1 Agustus 2021,Saya masukan kode teman ko error.. kontrol penipuan brarti tiktok cuman ngeprank doang .... jadi males ngundang teman ... masukan kode aja error terus,Positif
memetz slamet riady,23 Juni 2021,"Aplikasi keren terbukti membayar..tapi setelah semakin lama main koin yang diberikan semakin kecil sehingga sangat susah mengumpulkan point, tolong developer diperbesar jumlah koin..setelah koin besar baru bintang 5",Positif
Kode undangan tiktok GBDPPMNGMPYTG,28 Mei 2021,Apa sangat bagus banget aplikasi bisa jadi tersenyum ketawa jadi hidup lebih seneng ...,Positif
Adhen Sukma,1 Juli 2021,"Ini kenapa padahal saya pengguna baru tapi ko bonus 3k  gak dapat😞 Terus pas nyelesain misi gak maju"" Lagi pas mau masukin kode tidak lolos kontrol penipuan maksud apa? Saya kan pengguna baru Tolong ya admin😉 diperbaiki lagi biar kami warga 62 jadi puas kaya dulu lagi😃.",Negatif
Arief Nurul Zaman,28 Juli 2021,Ingin dapat penghasilan dari tiktok susah harus yang sexi terus gitu?,Negatif
Sabriansyah Putra hiola,13 Juli 2021,kenapa sekarang sudah tidak ada Misi buat tiktok.? Koin/Hadiah masih ada tapi Misi yang sudah tidak ada? Mohon penjelasan,Negatif
Yigo83 Cjdw,2 Agustus 2021,kenapa koin saya tidak bertambah padahal sudah ikut event,Negatif
Susii Susanti,18 Juni 2021,"Aku ingin sekali menjadi seorang yang lebih bagus lagi kalau bukan karena aku tidak bisa, , saya tak pernah bisa menang dari pada ngurusin orang lain yang tertarik pada iklan. . Mereka yang tidak yang paling penting adalah bagaimana kita harus bisa menjadi orang lain.",Positif
Maya Kresna,20 Mei 2021,"Aplikasi ini bermanfaat tentu karena bak konten kreator yang membagikan ilmu mulai dari agama, bisnis, skill tergantung bagaimana kita memanfaatkan. Saya rasa yang bilang jelek masih belum memperluas penggunaa",Positif
ngotok chanel,21 Juli 2021,Aplikasi terbukti membayar.. Bantu ramein ya kak GB5X9ZNGJPYWT,Positif
Suka Mandi,7 Agustus 2021,"Okeh ... Masuk fyp, gue kasih 1 bintang lagi. ... Xixixi serius",Positif
Aldi Tano,16 Juni 2021,Jika ingin rating tinggi permudah misi dalam event .masa iya ngundang 50orang .coba kayak tiktok lite ha 20 orang .dijamin pasti naik rating .sebelum harus memberi rating 5 star,Positif
Badria Matus,6 Agustus 2021,"so good, kok sekarang lag sih patah-patah tolong dong",Positif
Luci Ana,14 Juli 2021,Belum pernah dapat duit dari tiktok ini.. tapi saya terhibur,Positif
Sherly Anastasya,5 Juli 2021,"Terhibur juga sih dengan ada aplikasi ini, G A 3 A E T 4 U W P Y T G bisa digunain kak supaya dapat tambahan saldo. <€...",Positif
Kode undangan ❹⓿❸❷❽❽⓿❻❺,26 Juni 2021,Gak perlu repot repot biat menghibur diri cukup nonton video di tiktok bisa senang melihat bagus banget aplikasi ...,Positif
Sarip Saepuloh,17 Juni 2021,"Buat pengembang, tolong perbaiki aplikasi karena makin kesini makin bikin panas suhu hp dan panas sangat over banget. Semoga masukan ini diperhatikan demi kemajuan bersama.",Positif
Frans Obe,22 Juli 2021,Aplikasi keren habis sangat bagus pokok maju terus tiktok.,Positif
Titik endangmurni,19 Juli 2021,Kak kok pu aku tidak ada bonus koin lagi gimana cara biar dapat bonus lagi,Positif
魚Sakana,14 Juli 2021,Kenapa sekarang komenan gak bisa disalin? Mohon diperbaiki ya🙏,Positif
Aris Manto,11 Juli 2021,Sangat membantu para kreator melurkan bakat. Terimakasih,Positif
Sri Mayasari,23 Juli 2021,"Awal saja bisa nonton dapat uang kesini tidak bisa lagi nonton,. coba jelaskan dong",Positif
sugi hono,3 Agustus 2021,Bermanfaat dan bisa buat hiburan hilangkan penat dari aktivitas,Positif
Ivan Leonardo,23 Juli 2021,"Bagus Sekali, Saya Sangat Puas Banget Dengan Aplikasi Ini",Positif
Prabu Jaya,17 Juli 2021,kok tiktok gua gak ada tugas nonton sih kenapa ya?,Positif
Badiati aradhiva,6 Agustus 2021,Beberapa hari ini tiktok lag padahal sil atau wifi bagus,Positif
ALFIAN MV,9 Juli 2021,Aku suka aplikasi ini ... Tapi.... boleh block gacha heat? Karena aku benci gacha heat.. dan ada gacha heat di tiktok... Keluar gacha heat ,Positif
Kadek bayu setiawan giri _MIPA 2,9 Juli 2021,"Aplikasi bagus, keren, bak video bagus, kreator kreator baik. tapi kenapa semenjak update kok cuma ada akun bisnis akun kreator dikemanain tolong dikembalikan ini karna sangat berguna untuk kreator kreator yang menggunakan akun selain untuk bisnis. sekian saja tapi tetap ini aplikasi bagus banget�...",Positif
Kus Niyati,1 Agustus 2021,4 bintang dulu ya... nanti kalo akun ku sudah bagus like sama yang nonton tambahkan 1 lagi🙏😊,Positif
Aan Camp Pres,29 Juni 2021,Ini aplikasi emang bagus banget bray apa lagi kalo lagi gabut kalo gak lagi gak mood coba aja nonton video ada yang ngakak sampai yang sedih. Jangan lupa pakai kode undangan aku ya GBYLMASMZXYYT,Positif
ERLAND ALANO,21 Juli 2021,Aplikasi ini bagus banget aku suka tapi jangan update terus ya,Positif
yunita dyah savitri,21 Juli 2021,Saya kecewa kenapa sekarang susah buat upload video di tiktok,Negatif
Teguh Amin,28 Juli 2021,Aplikasi bagus banget tapi kalo bikin video gak ada yang like 😒🔪,Positif
Chika Ahmad,14 Juli 2021,Kenapa sekarang tidak bisa mendapatkan koin saat menonton video,Positif
Y u s u f N i h G e n k,6 Agustus 2021,Wah bagus aplikasi banget,Positif
Rhivana Dhea Peranajaya,1 Juli 2021,aplikasi jelek Eh tapi bohong aku suka banget,Positif
Revan Evan,3 Juni 2021,Buat Tiktok Untuk event 1juta ..telah berakhir... saya harap event tiap nonton dapat uang.. masih di teraplikasikan dan permanen... jika hal demikian di teraplikasian... pasti akan lebih bak lagi orang-orang mendownload tiktok ..karna pasti sama2 menguntungkan... kami menonton dan dan pihak tiktok mendapatkan uang...,Positif
Hawwa Nuha,8 Agustus 2021,aplikasi ini sangat bagus ......tapi kenapa kalo aku daftar gak bisa',Positif
Endang Pamungkas,3 Juli 2021,"tiktok untuk menghibur yes ok lah yaa yang lucu buat orang ngakak itu bagus... jangan yang ada unsur mengejek, porno dengan baju yang minim bahan itu sebagian orang suka dengan yang fulgar cewek cantik tapi untuk orang yang dewasa seperti saya yang sudah 57 tahun agak risi lihat harus diseleksi juga karena tiktok sudah disukai ...",Positif
ukhtina fatimah,31 Juli 2021,Aplikasi bagus tapi harus bikin akun gapapa bagus kok.,Positif
Grand Ck,5 Agustus 2021,Bagus si tapi gara gara ada yang parah parah jadi bintang 4 ,Positif
Agung Firman Halawa,21 Juli 2021,Kok tidak bisa melakukan pengisian saldo di aplikasi ni.,Positif
Andeka Saputra,25 Mei 2021,Aplikasi Sangat Bagus Dan Menghibur Sekali Dan Apa Alasan Saya Kasih Bintang 4 karena saya kecewa kenapa penghasilan semakin hari semakin mengecil. Yang tadi 70000 Point Dan sekarang Tinggal 49000 Point.,Positif
Sti Rhni,29 Juli 2021,"Please aplikasi ini aku mah kasih tau aja ya Tolong kalau sedot paketan/ kuota jangan terlalu bak, bagus sih rame mah cuma ajah yang tidak bagus paketan 😞",Positif
anas stefi nailah khoerunisa,17 Juli 2021,"ngeselin ih, update mulu tapi bagus sih, kuota gue jadi miris mulu kalo tiap minggu harus update melulu",Positif
Umi Lilik Ambarwati,17 Juli 2021,Kenapa event menonton video dapat koin gak ada lagi ya..,Positif
Adil Firmansyah,20 Juni 2021,aplikasi tiktok ini bagus banget,Positif
Muhammad Ramadhan,25 Juli 2021,Love you tiktok mantep terus lah memberi kemanan kepada pengguna😊,Positif
Munfaridah Nugraha,24 Juli 2021,😂😂😂😂lucu bagus juga,Positif
Bagus 1989,21 Juli 2021,Baru2 ajah koin ada kok sekarang gak ada coint nonton video,Positif
Frederika Simarmata,4 Juni 2021,Dear tiktok..saya kasi bintang 4 sekarang..sekarang saya tidak bisa menarik ditiktok... jujur aplikasi ini sangat keren dan bagus. Tapi saya sedikit kecewa .tolong pulihkan akun saya..biar saya bisa menarik uang  lagi ....terimakasih,Positif
sulistiana 98,12 Juli 2021,"Aplikasi keren bisa menghasilkan duit, tapi kenapa pengguna lama sudah tidak bisa menghasilkan koin? Tolong berikan penjelasan🙏",Positif
Prayit pelaut,22 Juli 2021,Perlu bantuan dong please koin tidak bertambah padahal sudah nonton lama banget,Positif
Dipo Dipo,19 Juli 2021,Jelek,Negatif
Have Good day,3 Agustus 2021,Sangat - sangat mengisi waktu bahkan saya sampai lupa waktu😄,Positif
Yanti sosilawati,6 Agustus 2021,Bagus sih tapi kenapa ya sekarang tiktok sering lag gak seperti dulu,Positif
Nidaayuu Nidaayuu,13 Juli 2021,"Sering bermasalah dengan koin yang tidak berjalan sama sekali, padahal sudah direset ulang tetep gak bisa, tolong dong agar diperbaiki lagi",Positif
Erin Vina,14 Juni 2021,hai tiktok akun ku grandelovmr kenapa gabisa post video ya??? sudah berhari hari loh ???????? Please aku MAU NGONTEN INI,Positif
Ramlan Annajah,2 Agustus 2021,Aku seneng suka main tiktok karena bak video keren dan pendek aku kasih bintang 4,Positif
Bayu Rizki N. S,23 Juli 2021,Mengasikkan semoga bisa seperti aplikasi like bisa dapat uang dengan mudah,Positif
ronirosadi Roni,6 Agustus 2021,Bintang 4 dulu kalo gampang cari koin nambah lagi bintang,Positif
Tasya Richard,28 Juni 2021,tiktok bagus. Tapi tiktok gue seperti lambat yah apa tergantung followers dan viewers? Soal orang lain sudah ada yang bssa live dan pu 3 menitan tapi gue gak ada. Gimana?,Positif
Putri Puspaningrum,15 Juni 2021,"Maaf, boleh gak ya kalo tiktok sediain fitur edit caption di video yang sudah di upload.. terus pin komentar jangan cuman di IPhone aja.. terima kasih 🙏🏻",Positif
Sg,7 Agustus 2021,Kak aku suka sih sama fitur² baru but kok jadi lag ya?,Positif
Lime Offcl,27 Juli 2021,Aplikasi lumayan💗 Tapi kenapa kok gak bisa dapatin saldo ya?,Positif
JEGAGIX OFFICIAL,1 Agustus 2021,"Kenapa setiap aku post video kena langgar terus😭 mohon dari pihak admin tiktok jangan gitulah,  akun aku i_am_wong75",Positif
Uswatun Chasanah,11 Juli 2021,Bagus sih selama pake tiktok gaada masalah sama sekali.. tarik uang juga lancar. Tapi kenapa sekarang gaada bonus koin nonton video sih agak kecewa😳,Positif
Embun Rahmaa,7 Agustus 2021,"Bagus bak ilmu, selain itu aku juga suka buat quotes galau, haha pantau ya tiktokku embunrahmaa19🥰",Positif
Anita Isfiani,1 Juni 2021,aplikasi bagus tapi kok saya kan ada kouta tapi gak bisa dibuka tulisa tidak ada koneksi internet aplikasi. yang Lain juga gak bisa cuman YouTube sama playstore doang yang bisa tolong di perbaiki ya,Positif
Andi Vhilbar,6 Juli 2021,"Aplikasi sangat bagus buat orang orang yang ingin berkreativitas sesuai apa yang mereka inginkan, seperti sekarang lagi ada masalah sama aplikasi , lapak ku yang kemaren rame tiba tiba jadi sepi 😥 sedih banget sih",Positif
Nur Shalita,17 Juli 2021,Aplikasi yang bagus....keren sekali . yang belum download cepat download..,Positif
BIRU #TMCH,8 Agustus 2021,Min kok kalo mau tarik uang harus pake dana premium ya?,Positif
Ahmad irsyadul ibad,29 Juli 2021,"Jelek Banget tapi bohong, yakali Jelek 😂",Positif
_Itz Rasya 28ツ_,11 Juni 2021,"sudah bagus kok, cuman kenapa ya? Saya sudah ngikutin bak orang loh, pas mencet kata ""Mengikuti"" Kenapa gak muncul Video orang yang saya Ikutin? Tolong benarkan.",Positif
My Story,23 Juli 2021,Kenapa makin lama ga bisa dapat koin? Padahal nonton sudah lama bgt,Negatif
w i s Tzy,6 Agustus 2021,Aplikasi sangat menghibur sekali hehe codeF9UDWRDK6PYVU,Positif
Aditya Mahdani,27 Juli 2021,Mohon maaf ini kenapa kok gak bisa salin komentar ?,Positif
Nur Kolifah,13 Juni 2021,Sebener aplikasini bagus tapi sayang bagi pengguna coint yang diperoleh dari misi menonton video terlalu sedikit jadi kurang membuat pengguna lebih antusias menggunakan aplikasi ini karena coint yang didapatkan sangat sedikit dan di batasi perhari ha 30 menit tolong dong bisa lebih dinaikan hadiah...,Positif
Tolong Pulang,14 Juni 2021,"Sengaja dikasih bintang 4 dulu, soal bonus tugas undang pengguna baru saya tidak masuk, tolong kepada pihak tiktok agar memperbaiki bug dan masalah lain . Sekian terima kasih 😊",Positif
Nur Azizah,7 Agustus 2021,Aplikasi ini bisa menghasilkan uang ta dari tukarkan point yuk masukan referal F63PQPVCEPYZT biar kalian bisa menikmati point ..,Positif
Javas Raditya,30 Juli 2021,Mengapa akun saya jarang fyp? Ini akun saya xyzbca722 Please fyp kan akun saya🗿🕶️🤏,Positif
Rizky Agung,6 Agustus 2021,Kenapa waktu lihat video sering lag padahal internet aman,Positif
RUSLI FIKRIANSYAH,20 Juni 2021,"Aplikasi bagus tapi pendapatan/perolehan koin sering bug dan gak muncul, tolonglah admin diperbaiki lagi ya sistem thank you. kalo sudah diperbaiki aku kasih bintang 5.",Positif
Rexti,19 Juli 2021,Kenapa pas kirim link tiktok tidak bisa di buka apakah tiktok sedang rusak?,Positif
HEWAN LUCU,12 Juli 2021,Durasi koin tonton tambahkan lagi. Biar sama sama menghasilkan,Positif
wildi senewe,24 Mei 2021,wah aplikasi bagus banget,Positif
Sorin Orson,3 Agustus 2021,Bagus cuman ngabisin paketan.,Positif
Wida Widayanti,9 Juli 2021,"Tolong dong tiktok saya gak bisa ganti akun dana ,padahal belum pernah ganti. Tapi jawaban telah melampaui batas pembaruan. Tolong dong pihak tiktok fitur ganti akun dana di buatkan.",Positif
Saipul Hidayat,11 Juni 2021,Sangat bagus Tapi sayang cara narik pendapatana ha bisa lewat dana . Dan harus lengkap juga akun danan Tolong dong akun dana jangan dipersulit jika ingin membuat tiktok semakin ok Dan tolong tempat penarika jangan ha dana sudah itu ajah yang saya mau kasih tau makasih,Positif
Muhammad Munir,9 Juni 2021,"Saya beri bintang empat karna ada sedikit masalah, yaitu kalau saya komen dan membuat video kenapa tidak pernah beranda ya, terimahkasih.",Positif
Ka Adin,31 Juli 2021,Tidak ada lagi yang dapat ku undangan aku tidak pu teman,Positif
Dewi Wardani,1 Agustus 2021,Kenapa gak bisa ngundang dan tarik saldo ya sama dapatkan koin,Positif
Alan Aripin,29 Juli 2021,Aku turunin karna tiap hari follow hilang dan yang nonton makin ngak ada tiktokkan 24 mei🙏,Positif
Shela Malinda,1 Agustus 2021,"kesempurnaan milik tuhan , maaf bisa kasih bintang 4",Positif
Calon Sukses,14 Juli 2021,Tolong bolehkan lagi penarikan menggunakan akun bank virtual saya mohon🙏🙏🙏🙏🙏🙏,Positif
Ratih Purwasari,11 Juli 2021,Sangat suka aplikasi ini seru dan membuat bak teman dari mana saja. Sayang aku gak bisa masukin kode padahal berharap banget 😭🙏🏼,Positif
Adly Mustafa,24 Juni 2021,"Maaf, saya masih pendatang baru, tapi buat saya, Tiktok pas banget buat jadi salah satu hiburan diwaktu luang, Terimakasih buat Tiktok,",Positif
Sablenks Suly,6 Agustus 2021,aplikasi ini masih susah dipahami untuk mendapatkan koin/uang,Positif
Nazatan Maryam,9 Juni 2021,Video jelek tapi bohong hayu,Positif
Rafay Alfajar Makalalag,7 Juni 2021,Wah aplikasi ini bagus bangat aku selalu tertawa hingga sakit perut kalau kalian tidak percaya download aja pasti kalian tertawa dan senang banget,Positif
aira Qumairaa anggrainy pandju,4 Juni 2021,Aplikasi jelek? Tapi bohong,Positif
kykyChan_087 kyky,28 Juni 2021,Assalamualaikum..admin tiktok aku mohon kembalikan aku aku lagi beri lagi kesempatan.. apa salah aku cuma gara gara upload foto meninggal om aku. padahal cuma mau buat momen terakhir please kasih kesempatan lagi admin tiktok kembalikan akun aku😢😢,Positif
Anila SR,23 Juli 2021,"video live gak bisa disimpan di beranda tiktok, upgrade biar bisa kesimpen diberanda dong",Positif
Kode undangan GBDPPMNGMPYTG,4 Juli 2021,Keren banget aplikasi sangat bagus bisa menghasilakan uang dan sangat menghibur dengan video ...,Positif
Ridwan,31 Juli 2021,"Daftar tugas harian tidak muncul lagi, koin tidak bertambah",Positif
Khaeruddin Zuhri,24 Mei 2021,"Alhamdulillah aplikasi ini membuat saya mengenal sesuatu yang baru. Tentu jika sesuatu digunakan untuk hal-hal yang baik, dia akan berdampak baik pula. Dan begitu sebalik. Teruslah membuat sesuatu yang menarik, lebih-lebih yang berbau edukasi",Positif
Dimas Hausaja,9 Juli 2021,Gua sebagai penguna lama kecewa karna dah gak bisa ikut event tau gak bisa dapat duit hasil menonton jadi aku kasih bintang satu aja karna mengecewakan,Negatif
Emilda01,8 Juli 2021,Aku kasih 3 saja dulu soal Aku Pernah pu Akun tiktok yang pertama dan di Blokir Permanen sepihak Saya cuma duet Dan berikan Edukasi Tentang Ketelanjangan dan pornografi yang selalu lewat Di Beranda dan Tidak Pantas di Pertontonkan,Positif
Nia Yusniati,12 Juni 2021,"Kok ditiktok saya gak ada point klik untuk tonton ya,cuma ada undang teman aja, tolong perbaikin dong please, sayang cuma nonton doang tapi point gak ada😭😭",Positif
Made Isma,3 Juni 2021,"Aplikasi apakah ini??????????????????????????????????? Kok saya bingung pakai Di aplikasi ini aku lihat orang"" joget dengan lagu jedag jedug😂😂",Positif
Satria Tayo,12 Juli 2021,"Bisa dapat informasi, berita, yang viral ,dll poko seru, kamu juga bisa memposting video loh",Positif
ale ale,26 Mei 2021,"pihak tiktok tolong beri kebijakan dong... kami para pengguna tiktok, sedang berusaha menarik point yang kami kumpulkan, namun gagal menarik.. tolong tanggapi komentar komentar kami di pusat bantuan aplikasi tiktok.",Positif
saiman free,15 Juli 2021,Hp baru emil baru tapi tidak bisa untuk dapatkan koin berulang kali saya riset ganti email tapi itu sama saja payah,Positif
::F9RXADR6VXYSL ::,22 Mei 2021,"Coba aja siapa tau aplikasi ini membayar, yang ingin point tambahan gunakan kode undang di nama saya diatas biar oke bonus",Positif
Kurnie 06,30 Mei 2021,Wes mantap pokok lanjut...,Positif
Bro DBoss,15 Juni 2021,"Great aplikasi, tapi misi menonton harian saya tidak muncul. Bagaiman saya bisa mengikuti misi? Tolong dibantu, terima kasih.",Positif
zeeya,5 Agustus 2021,"bagus, tapi kenapa saya kasih bintang 4 karena kadang suka lag",Positif
LOVE STAR CAKE,12 Juli 2021,tiktok aplikasi yang bagus dapat menghibur kita sekian😘😘,Positif
Andry Bayu,29 Juli 2021,"Masih dipantau, hadiah gak kaya dulu... kadang error",Positif
any bilytiy,1 Agustus 2021,Kalian cepat uninstall aplikasi ini soal tiktok mau dihack sama anonymous,Positif
Danny Musdany,30 Mei 2021,Halo tiktok saya baru saja menyelesaikan event mengundang pengguna baru tetapi kenapa hadiah yang saya dapat tidak bisa ditarik selalu penarikan gagal mohon dibantu saya sudah mengirimkan umpan balik di aplikasi tiktok tetapi tidak ada tanggapan di aplikasi mohon dibantu terima kasih,Positif
PRIY ADIP CHANNEL,5 Juli 2021,"Aplikasi sangat bagus,,,,, Cuman sayang video yang saya buat gak masuk ke beranda tiktok fyp,,,,,,,,,, Tolong dong kepada pihak tiktok supaya video di akun sugengrawuh54 supaya masuk kedalam beranda tiktok fyp,,,,,,,,,,,,, Nanti saya tambahkan bintang  kalo video buatan saya sudah fyp,,,,,,,... ",Positif
Johanes Eddy,20 Juli 2021,"Untuk lambang koin selalu hilang, tolong diperbaiki",Positif
Echa Fitriyani,1 Agustus 2021,Biasa tiap nonton Video dpt point sekarang gak ah kecewa .aku kasih 4 bintang aja,Positif
